Steps,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
189700,None,None,None,None
190400,None,None,None,None
191100,None,None,None,None
191800,None,None,None,None
192500,None,None,None,None
193200,0.22111799,170.83333333333334,170.83333333333334,2.0
193900,None,None,None,None
194600,None,None,None,None
195300,None,None,None,None
196000,None,None,None,None
196700,None,None,None,None
197400,None,None,None,None
198100,None,None,None,None
198800,None,None,None,None
199500,None,None,None,None
200200,None,None,None,None
200900,None,None,None,None
201600,0.25687337,170.83333333333334,170.83333333333334,2.0
202300,None,None,None,None
203000,None,None,None,None
203700,None,None,None,None
204400,None,None,None,None
205100,None,None,None,None
205800,None,None,None,None
206500,None,None,None,None
207200,None,None,None,None
207900,None,None,None,None
208600,None,None,None,None
209300,None,None,None,None
210000,0.25317156,150.27777777777777,150.27777777777777,2.0
210700,None,None,None,None
211400,None,None,None,None
212100,None,None,None,None
212800,None,None,None,None
213500,None,None,None,None
214200,None,None,None,None
214900,None,None,None,None
215600,None,None,None,None
216300,None,None,None,None
217000,None,None,None,None
217700,None,None,None,None
218400,0.21054786,121.38888888888889,121.38888888888889,2.0
219100,None,None,None,None
219800,None,None,None,None
220500,None,None,None,None
221200,None,None,None,None
221900,None,None,None,None
222600,None,None,None,None
223300,None,None,None,None
224000,None,None,None,None
224700,None,None,None,None
225400,None,None,None,None
226100,None,None,None,None
226800,0.23463906,522.7777777777778,522.7777777777778,2.0
227500,None,None,None,None
228200,None,None,None,None
228900,None,None,None,None
229600,None,None,None,None
230300,None,None,None,None
231000,None,None,None,None
231700,None,None,None,None
232400,None,None,None,None
